Item	Weight (g)	Length (mm)	Width (mm)	Depth (mm)
EnclosureTop	26.9695	68.64	38.64	20
EnclosureBottom	33.5252	68.64	38.64	20
ArduinoNano33IoT	5	45	18	7
DHT22	2.4	28	12	10
103060 Battery	38	60	30	10
Total	105.895
